id_client,date_octroi,age,sexe,situation_matrimoniale,nb_personnes_charge,niveau_education,zone_habitation,secteur_activite,anciennete_activite_mois,revenu_mensuel_fcfa,charges_mensuelles_fcfa,possede_compte_epargne,montant_epargne_fcfa,montant_credit_fcfa,duree_credit_mois,taux_interet_annuel,objet_credit,type_garantie,membre_groupe_solidaire,nb_credits_anterieurs,nb_retards_anterieurs,score_mobile_money,nb_transactions_mm_mois,distance_agence_km,agent_credit,nb_relances_recouvrement,statut_dossier,defaut_paiement
CLI-008962,2024-03-25,41,F,Marie,3.0,Secondaire,Semi-urbaine,Commerce,59.0,,83000.0,0,0.0,645000.0,12,21.17,Equipement,Caution solidaire,1,1,0,76.1,13,5.7,AG-019,0,Solde,0
CLI-005144,2023-11-24,25,F,Marie,3.0,Primaire,Rurale,Commerce,138.0,110300.0,52200.0,0,0.0,678000.0,18,24.59,Intrants agricoles,Caution solidaire,1,2,0,63.0,4,16.8,AG-015,1,Solde,0
CLI-005787,2023-04-10,28,M,Marie,1.0,Primaire,SEMI-URBAINE,Artisanat,32.0,105300.0,44400.0,0,0.0,180000.0,9,21.45,Intrants agricoles,Caution solidaire,1,0,0,50.0,5,1.8,AG-025,0,Solde,0
CLI-007170,2024-01-13,42,F,Divorce,3.0,Secondaire,Semi-urbaine,Fonction publique,25.0,145100.0,82700.0,1,53700.0,522000.0,6,24.04,Equipement,Caution solidaire,1,3,0,74.1,7,5.8,AG-005,0,Solde,0
CLI-008989,2021-05-07,48,M,Marie,1.0,Secondaire,Semi-urbaine,Transport,94.0,66700.0,41200.0,1,,105000.0,18,16.47,Fonds de roulement,Caution solidaire,0,1,0,34.4,8,2.7,AG-017,1,Solde,0
CLI-003117,08/01/2023,31,M,Marie,2.0,Primaire,Rurale,Artisanat,89.0,33000.0,12000.0,0,0.0,88000.0,18,21.27,Habitat,Caution solidaire,0,0,0,51.2,5,14.2,AG-019,0,Solde,0
CLI-003112,2022-11-17,56,M,Celibataire,0.0,,Urbaine,Commerce,58.0,114600.0,46300.0,0,0.0,60000.0,3,16.81,Autre,Hypotheque,1,3,1,58.9,16,11.3,AG-024,0,Solde,0
CLI-002930,2023-11-04,42,F,Celibataire,3.0,Superieur,Semi-urbaine,Services,76.0,149000.0,87800.0,0,0.0,1010000.0,24,24.85,Intrants agricoles,Materiel,0,1,1,,2,2.1,AG-013,0,En cours,0
CLI-008623,2022-05-03,45,M,Marie,6.0,Primaire,Rurale,Agriculture,85.0,25600.0,9900.0,0,0.0,164000.0,18,16.81,Scolarite,Caution solidaire,0,1,1,42.7,4,7.4,AG-018,1,Solde,0
CLI-002361,2023-08-21,62,F,Marie,2.0,Primaire,Urbaine,Artisanat,116.0,94000.0,51800.0,1,17700.0,364000.0,3,23.62,Equipement,Caution solidaire,1,4,0,40.3,12,1.3,AG-007,3,Contentieux,1
CLI-005500,2024-08-20,44,F,Marie,2.0,Primaire,Semi-urbaine,Commerce,47.0,100700.0,31900.0,0,0.0,343000.0,6,19.51,Equipement,Caution solidaire,1,2,0,57.8,5,4.9,AG-010,0,Solde,0
CLI-004949,22/01/2022,47,F,Celibataire,1.0,Primaire,Rurale,Artisanat,73.0,26200.0,14300.0,0,0.0,29000.0,24,24.05,Fonds de roulement,Caution solidaire,1,3,0,57.9,2,19.1,AG-001,0,Solde,0
CLI-006936,2021-05-19,20,F,Marie,3.0,Primaire,Semi-urbaine,Commerce,6.0,,61700.0,0,0.0,527000.0,12,18.75,Intrants agricoles,Caution solidaire,1,0,0,,13,4.1,AG-023,0,En cours,0
CLI-001362,2024-10-28,39,M,Celibataire,1.0,Secondaire,Rurale,Commerce,186.0,72000.0,20600.0,0,0.0,280000.0,6,27.08,Fonds de roulement,Materiel,0,3,0,58.3,2,15.9,AG-005,0,Solde,0
CLI-006199,2024-03-03,51,M,Marie,5.0,Aucun,Rurale,Agriculture,23.0,40300.0,21300.0,0,0.0,65000.0,6,20.71,Scolarite,Caution solidaire,1,0,0,47.0,2,2.7,AG-007,0,Solde,0
CLI-003171,2024-02-26,18,Feminin,Marie,5.0,Primaire,Urbaine,Agriculture,25.0,75900.0,61400.0,1,7400.0,444000.0,6,33.71,Habitat,Materiel,0,1,1,75.6,19,2.2,AG-021,3,Recouvrement,1
CLI-003287,2022-03-22,40,F,Marie,2.0,Secondaire,Semi-urbaine,Agriculture,54.0,62600.0,29500.0,1,9400.0,320000.0,12,22.04,Autre,Materiel,0,2,0,65.5,7,12.9,AG-007,0,Solde,0
CLI-007414,2022-06-09,43,F,Celibataire,0.0,Secondaire,Urbaine,Agriculture,40.0,104800.0,60100.0,1,3100.0,420000.0,12,14.28,Scolarite,Caution solidaire,1,0,0,67.1,15,2.6,AG-004,0,Solde,0
CLI-008832,2024-09-18,18,M,Celibataire,0.0,Secondaire,Urbaine,Commerce,92.0,265200.0,92500.0,0,0.0,420000.0,9,27.99,Fonds de roulement,Caution solidaire,1,3,1,42.1,21,0.5,AG-005,1,Solde,0
CLI-001723,2021-10-20,43,F,Marie,7.0,Superieur,Semi-urbaine,Commerce,50.0,66500.0,41800.0,1,18800.0,157000.0,6,14.41,Sante,Caution solidaire,1,2,0,55.7,3,1.8,AG-007,0,Solde,0
CLI-009190,2022-06-08,43,F,Marie,3.0,Primaire,Urbaine,Commerce,44.0,224500.0,154200.0,1,61600.0,1184000.0,9,21.56,Fonds de roulement,Materiel,0,1,0,62.5,12,6.8,AG-013,0,Solde,0
CLI-000282,2021-01-25,33,F,Celibataire,2.0,Secondaire,Rurale,Agriculture,14.0,42200.0,28500.0,0,0.0,112000.0,12,25.97,Sante,Materiel,0,0,0,58.1,3,16.2,AG-012,0,Solde,0
CLI-000369,2024-03-29,34,M,Marie,3.0,Aucun,Semi-urbaine,Commerce,84.0,58500.0,38700.0,0,0.0,109000.0,24,21.62,Fonds de roulement,Aucune,0,0,0,54.8,2,6.5,AG-008,0,Solde,0
CLI-006911,2022-03-23,30,F,Marie,3.0,Aucun,Rurale,Artisanat,35.0,54200.0,30400.0,0,0.0,95000.0,6,16.61,Fonds de roulement,Caution solidaire,1,0,0,66.8,3,24.6,AG-014,1,Solde,0
CLI-008714,2021-08-06,39,F,Marie,5.0,Aucun,Rurale,Commerce,96.0,38100.0,20900.0,0,0.0,149000.0,24,20.97,Fonds de roulement,Aucune,0,0,0,,4,21.0,AG-021,0,Solde,0
